ALERT! Timestamp: 2025-07-28 15:56:31, Frame: 16, Motion Energy: 534.83, Hand Speed: 128.62
ALERT! Timestamp: 2025-07-28 15:56:32, Frame: 22, Motion Energy: 2354.58, Hand Speed: 80.10
ALERT! Timestamp: 2025-07-28 15:57:39, Frame: 404, Motion Energy: 829.24, Hand Speed: 41.54
ALERT! Timestamp: 2025-07-28 15:57:44, Frame: 426, Motion Energy: 745.80, Hand Speed: 51.68
ALERT! Timestamp: 2025-07-28 15:57:45, Frame: 432, Motion Energy: 888.83, Hand Speed: 51.40
ALERT! Timestamp: 2025-07-28 15:57:50, Frame: 450, Motion Energy: 613.13, Hand Speed: 50.97
ALERT! Timestamp: 2025-07-28 15:58:02, Frame: 490, Motion Energy: 799.22, Hand Speed: 87.99
ALERT! Timestamp: 2025-07-28 15:58:03, Frame: 494, Motion Energy: 724.53, Hand Speed: 89.81
ALERT! Timestamp: 2025-07-28 15:58:03, Frame: 496, Motion Energy: 1817.04, Hand Speed: 102.61
ALERT! Timestamp: 2025-07-28 15:58:04, Frame: 498, Motion Energy: 3950.38, Hand Speed: 71.67
ALERT! Timestamp: 2025-07-28 15:58:05, Frame: 500, Motion Energy: 12622.14, Hand Speed: 68.14
ALERT! Timestamp: 2025-07-28 15:58:05, Frame: 502, Motion Energy: 677.54, Hand Speed: 77.35
ALERT! Timestamp: 2025-07-28 15:58:07, Frame: 512, Motion Energy: 1102.95, Hand Speed: 111.33
ALERT! Timestamp: 2025-07-28 15:58:20, Frame: 576, Motion Energy: 615.49, Hand Speed: 91.24
ALERT! Timestamp: 2025-07-28 15:58:34, Frame: 656, Motion Energy: 511.14, Hand Speed: 112.31
ALERT! Timestamp: 2025-07-28 15:58:34, Frame: 658, Motion Energy: 717.61, Hand Speed: 115.20
ALERT! Timestamp: 2025-07-28 15:58:35, Frame: 660, Motion Energy: 1035.41, Hand Speed: 90.95
ALERT! Timestamp: 2025-07-28 16:15:08, Frame: 42, Motion Energy: 1710.23, Hand Speed: 88.64
ALERT! Timestamp: 2025-07-28 16:15:08, Frame: 44, Motion Energy: 1775.92, Hand Speed: 114.01
ALERT! Timestamp: 2025-07-28 16:15:08, Frame: 46, Motion Energy: 1713.39, Hand Speed: 101.43
ALERT! Timestamp: 2025-07-28 16:15:08, Frame: 48, Motion Energy: 1573.44, Hand Speed: 97.54
ALERT! Timestamp: 2025-07-28 16:15:09, Frame: 50, Motion Energy: 1832.59, Hand Speed: 86.49
